,name,c_rate,c_ppl
0,穆赫兰道 Mulholland Dr.,8.4,386089
1,花样年华 花樣年華,8.7,507463
2,血色将至 There Will Be Blood,8.4,64335
3,千与千寻 千と千尋の神隠し,9.4,1961910
4,少年时代 Boyhood,8.5,203431
5,暖暖内含光 Eternal Sunshine of the Spotless Mind,8.5,220120
6,生命之树 The Tree of Life,7.1,41254
7,一一,9.1,313048
8,一次别离 جدایی نادر از سیمین,8.7,227063
9,老无所依 No Country for Old Men,8.3,254239
10,醉乡民谣 Inside Llewyn Davis,8.1,114205
11,十二宫 Zodiac,7.4,168062
12,人类之子 Children of Men,7.6,70374
13,杀戮演绎 The Act of Killing,8.4,7992
14,"四月三周两天 4 luni, 3 săptămâni și 2 zile",8.3,32923
15,神圣车行 Holy Motors,7.9,20088
16,潘神的迷宫 El laberinto del fauno,7.9,202823
17,白丝带 Das weiße Band – Eine deutsche Kindergeschichte,8.2,28789
18,疯狂的麦克斯4：狂暴之路 Mad Max: Fury Road,8.6,455333
19,"纽约提喻法 Synecdoche, New York",8.3,16251
20,布达佩斯大饭店 The Grand Budapest Hotel,8.9,778393
21,迷失东京 Lost in Translation,7.7,199205
22,隐藏摄像机 Caché,7.6,12068
23,大师 The Master,7.4,17300
24,记忆碎片 Memento,8.7,532168
25,第25小时 25th Hour,7.9,21819
26,社交网络 The Social Network,8.2,413701
27,对她说 Hable con ella,8.5,80291
28,机器人总动员 WALL·E,9.3,1157540
29,老男孩 올드보이,8.2,257197
30,玛格丽特 Margaret,6.3,1631
31,窃听风暴 Das Leben der Anderen,9.2,486687
32,蝙蝠侠：黑暗骑士 The Dark Knight,9.2,909510
33,索尔之子 Saul fia,7.4,17189
34,卧虎藏龙 臥虎藏龍,8.3,392497
35,廷巴克图 Timbuktu,7.1,3927
36,能召回前世的布米叔叔 ลุงบุญมีระลึกชาติ,7.3,12385
37,上帝之城 Cidade de Deus,9.0,267320
38,新世界 The New World,7.0,3714
39,断背山 Brokeback Mountain,8.8,626879
40,头脑特工队 Inside Out,8.7,516852
41,爱 Amour,8.6,78204
42,忧郁症 Melancholia,7.1,29468
43,为奴十二年 12 Years a Slave,8.2,212485
44,阿黛尔的生活 La Vie d'Adèle,8.4,217161
45,合法副本 Copie conforme,8.0,18367
46,利维坦 Левиафан,7.8,17674
47,布鲁克林 Brooklyn,7.9,104148
48,再见语言 Adieu au langage,7.2,3245
49,刺客聂隐娘,7.3,199222
50,盗梦空间 Inception,9.3,1806526
51,热带疾病 สัตว์ประหลาด,8.0,6151
52,红磨坊 Moulin Rouge!,7.9,125965
53,小亚细亚往事 Bir Zamanlar Anadolu'da,7.8,9374
54,修女艾达 Ida,7.8,14733
55,鲸鱼马戏团 Werckmeister harmóniák,8.8,8985
56,猎杀本·拉登 Zero Dark Thirty,7.6,54931
57,莫拉德 Moolaadé,7.5,420
58,暴力史 A History of Violence,7.5,22784
59,恋爱症候群 แสงศตวรรษ,7.9,4122
60,皮囊之下 Under the Skin,6.3,40359
61,无耻混蛋 Inglourious Basterds,8.6,412541
62,都灵之马 A torinói ló,8.4,17299
63,绝美之城 La grande bellezza,8.2,45895
64,鱼缸 Fish Tank,7.5,29553
65,春夏秋冬又一春 봄 여름 가을 겨울 그리고 봄,8.5,102898
66,拆弹部队 The Hurt Locker,7.8,162650
67,天才一族 The Royal Tenenbaums,8.1,40027
68,卡罗尔 Carol,8.4,247830
69,我们讲述的故事 Stories We Tell,8.2,1854
70,禁忌 Tabu,7.5,1928
71,唯爱永生 Only Lovers Left Alive,7.6,38221
72,爱在日落黄昏时 Before Sunset,8.9,459633
73,春假 Spring Breakers,5.6,13378
74,性本恶 Inherent Vice,7.1,10515
75,狗镇 Dogville,8.4,133781
76,潜水钟与蝴蝶 Le Scaphandre et le Papillon,7.9,37848
77,华尔街之狼 The Wolf of Wall Street,8.0,337780
78,几近成名 Almost Famous,8.0,27369
79,回归 Возвращение,8.7,24832
80,羞耻 Shame,7.3,88422
81,严肃的男人 A Serious Man,7.4,21167
82,人工智能 Artificial Intelligence: AI,8.7,383251
83,她 Her,8.4,393955
84,预言者 Un prophète,7.6,16053
85,远离天堂 Far from Heaven,7.6,7937
86,天使爱美丽 Le fabuleux destin d'Amélie Poulain,8.7,877336
87,聚焦 Spotlight,8.8,244065
88,无头的女人 La mujer sin cabeza,7.1,738
89,钢琴家 The Pianist,9.2,500162
90,谜一样的双眼 El secreto de sus ojos,8.3,81557
91,神枪手之死 The Assassination of Jesse James by the Coward Robert Ford,7.6,21375
92,美食总动员 Ratatouille,8.5,316517
93,生人勿进 Låt den rätte komma in,7.6,43042
94,月升王国 Moonrise Kingdom,8.3,118488
95,海底总动员 Finding Nemo,8.4,342617
96,白色物质 White Material,6.8,1959
97,十段生命的律动 ده,7.6,2239
98,拾穗者 Les glaneurs et la glaneuse,9.0,6270
99,卡洛斯 Carlos,7.4,1285
100,梦之安魂曲 Requiem for a Dream,8.8,178472
101,托尼·厄德曼 Toni Erdmann,7.6,23385
