name,birth_place,lat,lng,geometry.coordinates
David Lynch,"Missoula, Montana, USA",46.87278,-113.99625,"[-113.99625, 46.87278]"
Wong Kar-wai,"Shanghai, China",31.25516,121.4747,"[121.4747, 31.25516]"
Terrence Malick,"Ottawa, Illinois, USA",41.34656,-88.84266,"[-88.84266, 41.34656]"
Edward Yang,"Shanghai, China",31.25516,121.4747,"[121.4747, 31.25516]"
Jean-Luc Godard,"Paris, France",48.85717,2.3414,"[2.3414, 48.85717]"
Mohammad Rasoulof,"Shiraz, Iran",29.59101,52.53059,"[52.53059, 29.59101]"
Raoul Ruiz,"Puerto Montt, Chile",-41.47204,-72.93829,"[-72.93829, -41.47204]"
Abbas Kiarostami,"Tehran, Iran",35.68877,51.41503,"[51.41503, 35.68877]"
Johnnie To,Hong Kong,22.27683,114.17612,"[114.17612, 22.27683]"
Carlos Saura,"Huesca, Aragón, Spain",42.13357,-0.40919,"[-0.40919, 42.13357]"
Michel Gondry,"Versailles, Seine-et-Oise [now Yvelines], France",48.80195,2.13108,"[2.13108, 48.80195]"
Apichatpong Weerasethakul,"Bangkok, Thailand",13.75336,100.50483,"[100.50483, 13.75336]"
Hayao Miyazaki,"Tokyo, Japan",35.68408,139.80885,"[139.80885, 35.68408]"
Joshua Oppenheimer,"Texas, USA",30.26759,-97.74299,"[-97.74299, 30.26759]"
Wes Anderson,"Houston, Texas, USA",29.76078,-95.36952,"[-95.36952, 29.76078]"
Jia Zhangke,,6.48812,2.6138,"[2.6138, 6.48812]"
Gus Van Sant,"Louisville, Kentucky, USA",38.25489,-85.76666,"[-85.76666, 38.25489]"
Kathryn Bigelow,"San Carlos, California, USA",37.50494,-122.26281,"[-122.26281, 37.50494]"
David Cronenberg,"Toronto, Ontario, Canada",43.64869,-79.38544,"[-79.38544, 43.64869]"
Sarah Polley,"Toronto, Ontario, Canada",43.64869,-79.38544,"[-79.38544, 43.64869]"
Martin Campbell,"Hastings, New Zealand",-39.64132,176.84445,"[176.84445, -39.64132]"
Miguel Gomes,"Lisbon, Portugal",38.72639,-9.14948,"[-9.14948, 38.72639]"
Pablo Berger,"Bilbao, Vizcaya, País Vasco, Spain",43.2689,-2.94529,"[-2.94529, 43.2689]"
Courtney Hunt,"Memphis, Tennessee, USA",35.14976,-90.04925,"[-90.04925, 35.14976]"
Robert Altman,"Kansas City, Missouri, USA",39.10344,-94.58311,"[-94.58311, 39.10344]"
Christopher Nolan,"London, England, UK",51.50643,-0.12719,"[-0.12719, 51.50643]"
Guillermo Del Toro,"Guadalajara, Jalisco, Mexico",20.68758,-103.35104,"[-103.35104, 20.68758]"
Michael Haneke,"Munich, Bavaria, Germany",48.13641,11.57754,"[11.57754, 48.13641]"
Werner Herzog,"Munich, Bavaria, Germany",48.13641,11.57754,"[11.57754, 48.13641]"
Cristian Mungiu,"Iasi, Romania",47.1594,27.58732,"[27.58732, 47.1594]"
Leos Carax,"Suresnes, Seine [now Hauts-de-Seine], France",48.86773,2.22612,"[2.22612, 48.86773]"
Claude Lanzmann,"Bois-Colombes, Hauts-de-Seine, France",48.91354,2.26733,"[2.26733, 48.91354]"
Paul Thomas Anderson,"Studio City, California, USA",34.14453,-118.39561,"[-118.39561, 34.14453]"
Kenneth Lonergan,"New York City, New York, USA",40.71455,-74.00714,"[-74.00714, 40.71455]"
Mary Harron,"Bracebridge, Ontario, Canada",45.05558,-79.28863,"[-79.28863, 45.05558]"
Jessica Hausner,"Vienna, Austria",48.20263,16.36842,"[16.36842, 48.20263]"
Andrea Arnold,"Dartford, Kent, England, UK",51.44462,0.22057,"[0.22057, 51.44462]"
Richard Linklater,"Houston, Texas, USA",29.76078,-95.36952,"[-95.36952, 29.76078]"
Pablo Larraín,"Santiago, Chile",-33.43722,-70.65002,"[-70.65002, -33.43722]"
Joel and Ethan Coen,,6.48812,2.6138,"[2.6138, 6.48812]"
Andrew Stanton and Lee Unkrich,,6.48812,2.6138,"[2.6138, 6.48812]"
Andrew Stanton and Lee Unkrich,,6.48812,2.6138,"[2.6138, 6.48812]"
Zhang Yimou,"Xi'an, Shaanxi, China",30.04732,-94.33519,"[-94.33519, 30.04732]"
Martin Scorsese,"Queens, New York City, New York, USA",40.67744,-73.83539,"[-73.83539, 40.67744]"
Bong Joon-ho,"Daegu, South Korea",35.85402,128.61034,"[128.61034, 35.85402]"
Paul Greengrass,"Cheam, Surrey, England, UK",51.35762,-0.2167,"[-0.2167, 51.35762]"
Steven Soderbergh,"Atlanta, Georgia, USA",33.74831,-84.39111,"[-84.39111, 33.74831]"
Danièle Huillet and Jean-Marie Straub,,6.48812,2.6138,"[2.6138, 6.48812]"
Marco Bellocchio,"Piacenza, Emilia-Romagna, Italy",45.0566,9.70176,"[9.70176, 45.0566]"
Michelangelo Frammartino,"Milan, Lombardy, Italy",45.46796,9.18178,"[9.18178, 45.46796]"
Ermanno Olmi,"Bergamo, Lombardy, Italy",45.69523,9.66951,"[9.66951, 45.69523]"
Paolo Benvenuti,"Pisa, Tuscany, Italy",43.70996,10.39945,"[10.39945, 43.70996]"
Luigi M. Faccini,"Lerici, Italy",44.07609,9.90999,"[9.90999, 44.07609]"
Franco Piavoli,"Pozzolengo, Lombardy, Italy",45.40472,10.63023,"[10.63023, 45.40472]"
Yervant Gianikian and Angela Ricci Lucchi,,6.48812,2.6138,"[2.6138, 6.48812]"
Yervant Gianikian and Angela Ricci Lucchi,,6.48812,2.6138,"[2.6138, 6.48812]"
Yervant Gianikian and Angela Ricci Lucchi,,6.48812,2.6138,"[2.6138, 6.48812]"
Charlie Kaufman,"New York City, New York, USA",40.71455,-74.00714,"[-74.00714, 40.71455]"
Darren Aronofsky,"Brooklyn, New York City, New York, USA",40.70181,-73.99162,"[-73.99162, 40.70181]"
Rick Alverson,,6.48812,2.6138,"[2.6138, 6.48812]"
Lars von Trier,"Copenhagen, Denmark",55.67567,12.56756,"[12.56756, 55.67567]"
Quentin Tarantino,"Knoxville, Tennessee, USA",35.96068,-83.92103,"[-83.92103, 35.96068]"
Jim Jarmusch,"Akron, Ohio, USA",41.08431,-81.51431,"[-81.51431, 41.08431]"
Ari Folman,"Haifa, Israel",32.80123,35.00326,"[35.00326, 32.80123]"
Spike Lee,"Atlanta, Georgia, USA",33.74831,-84.39111,"[-84.39111, 33.74831]"
Michael Winterbottom,"Blackburn, Lancashire, England, UK",53.74858,-2.47994,"[-2.47994, 53.74858]"
Nuri Bilge Ceylan,"Istanbul, Turkey",41.06201,28.98877,"[28.98877, 41.06201]"
David Fincher,"Denver, Colorado, USA",39.74001,-104.99202,"[-104.99202, 39.74001]"
Tomas Alfredson,"Lidingö, Stockholms län, Sweden",59.36523,18.13291,"[18.13291, 59.36523]"
Shane Carruth,"Myrtle Beach, South Carolina, USA",33.69373,-78.88232,"[-78.88232, 33.69373]"
Peter Watkins,"Norbiton, Surrey, England, UK",51.41222,-0.28397,"[-0.28397, 51.41222]"
Spike Jonze,"Rockville, Maryland, USA",39.08196,-77.15118,"[-77.15118, 39.08196]"
Carlos Reygadas,"Mexico City, Distrito Federal, Mexico",19.36348,-99.24024,"[-99.24024, 19.36348]"
Fernando Meirelles and Kátia Lund,,6.48812,2.6138,"[2.6138, 6.48812]"
Fernando Meirelles and Kátia Lund,,6.48812,2.6138,"[2.6138, 6.48812]"
Brad Bird,"Kalispell, Montana, USA",48.20189,-114.315,"[-114.315, 48.20189]"
Alejandro González Iñárritu,"Mexico City, Distrito Federal, Mexico",19.36348,-99.24024,"[-99.24024, 19.36348]"
Ang Lee,"Pingtung, Taiwan",22.66209,120.49142,"[120.49142, 22.66209]"
Steve McQueen,"Beech Grove, Indiana, USA",39.72166,-86.09155,"[-86.09155, 39.72166]"
Xavier Dolan,"Montreal, Quebec, Canada",45.5124,-73.55469,"[-73.55469, 45.5124]"
Pedro Almodóvar,"Calzada de Calatrava, Ciudad Real, Castilla-La Mancha, Spain",38.7048,-3.77765,"[-3.77765, 38.7048]"
