name,birth_place
David Lynch,"Missoula, Montana, USA"
Wong Kar-wai,"Shanghai, China"
Terrence Malick,"Ottawa, Illinois, USA"
Edward Yang,"Shanghai, China"
Jean-Luc Godard,"Paris, France"
Mohammad Rasoulof,"Shiraz, Iran"
Raoul Ruiz,"Puerto Montt, Chile"
Abbas Kiarostami,"Tehran, Iran"
Johnnie To,Hong Kong
Carlos Saura,"Huesca, Aragón, Spain"
Michel Gondry,"Versailles, Seine-et-Oise [now Yvelines], France"
Apichatpong Weerasethakul,"Bangkok, Thailand"
Hayao Miyazaki,"Tokyo, Japan"
Joshua Oppenheimer,"Texas, USA"
Wes Anderson,"Houston, Texas, USA"
Jia Zhangke,NaN
Gus Van Sant,"Louisville, Kentucky, USA"
Kathryn Bigelow,"San Carlos, California, USA"
David Cronenberg,"Toronto, Ontario, Canada"
Sarah Polley,"Toronto, Ontario, Canada"
Martin Campbell,"Hastings, New Zealand"
Miguel Gomes,"Lisbon, Portugal"
Pablo Berger,"Bilbao, Vizcaya, País Vasco, Spain"
Courtney Hunt,"Memphis, Tennessee, USA"
Robert Altman,"Kansas City, Missouri, USA"
Christopher Nolan,"London, England, UK"
Guillermo Del Toro,"Guadalajara, Jalisco, Mexico"
Michael Haneke,"Munich, Bavaria, Germany"
Werner Herzog,"Munich, Bavaria, Germany"
Cristian Mungiu,"Iasi, Romania"
Leos Carax,"Suresnes, Seine [now Hauts-de-Seine], France"
Claude Lanzmann,"Bois-Colombes, Hauts-de-Seine, France"
Paul Thomas Anderson,"Studio City, California, USA"
Kenneth Lonergan,"New York City, New York, USA"
Mary Harron,"Bracebridge, Ontario, Canada"
Jessica Hausner,"Vienna, Austria"
Andrea Arnold,"Dartford, Kent, England, UK"
Richard Linklater,"Houston, Texas, USA"
Pablo Larraín,"Santiago, Chile"
Joel and Ethan Coen,NaN
Andrew Stanton and Lee Unkrich,NaN
Andrew Stanton and Lee Unkrich,NaN
Zhang Yimou,"Xi'an, Shaanxi, China"
Martin Scorsese,"Queens, New York City, New York, USA"
Bong Joon-ho,"Daegu, South Korea"
Paul Greengrass,"Cheam, Surrey, England, UK"
Steven Soderbergh,"Atlanta, Georgia, USA"
Danièle Huillet and Jean-Marie Straub,NaN
Marco Bellocchio,"Piacenza, Emilia-Romagna, Italy"
Michelangelo Frammartino,"Milan, Lombardy, Italy"
Ermanno Olmi,"Bergamo, Lombardy, Italy"
Paolo Benvenuti,"Pisa, Tuscany, Italy"
Luigi M. Faccini,"Lerici, Italy"
Franco Piavoli,"Pozzolengo, Lombardy, Italy"
Yervant Gianikian and Angela Ricci Lucchi,NaN
Yervant Gianikian and Angela Ricci Lucchi,NaN
Yervant Gianikian and Angela Ricci Lucchi,NaN
Charlie Kaufman,"New York City, New York, USA"
Darren Aronofsky,"Brooklyn, New York City, New York, USA"
Rick Alverson,NaN
Lars von Trier,"Copenhagen, Denmark"
Quentin Tarantino,"Knoxville, Tennessee, USA"
