name,douban_rate,douban_ppl
Mulholland Drive,8.4,386383
In the Mood for Love,8.7,507976
The Tree of Life,7.1,41274
Yi Yi: A One and a Two,9.1,313360
Goodbye to Language,7.2,3248
The White Meadows,8.6,707
Night Across the Street,6.8,106
Certified Copy,8.0,18396
Sparrow,6.9,48393
Fados,8.2,341
Eternal Sunshine of the Spotless Mind,8.5,220299
Syndromes and a Century,7.9,4127
Spirited Away,9.4,1963336
The Act of Killing,8.4,7997
The Grand Budapest Hotel,8.9,779207
The New World,9.1,29248
The World,8.0,4516
Elephant,7.8,66885
Zero Dark Thirty,7.6,54971
A History of Violence,7.5,22804
Stories We Tell,8.2,1857
Casino Royale,7.7,166864
Tabu,7.5,1932
Snow White,7.6,1655
Frozen River,7.6,4175
Gosford Park,7.8,18565
Inception,9.3,1807860
Pan's Labyrinth,7.9,203028
Caché,7.6,12081
Grizzly Man,8.3,5473
"4 Months, 3 Weeks & 2 Days",8.3,32944
Holy Motors,7.9,20123
The Last of the Unjust,7.4,99
There Will Be Blood,8.4,64423
The Piano Teacher,7.5,56162
Margaret,8.2,7457
American Psycho,7.8,70697
Lourdes,7.1,1111
Red Road,7.3,2675
Boyhood,8.5,203524
Tony Manero,7.5,202
No Country For Old Men,8.3,254547
A Separation,8.7,227187
Hero,8.8,26198
The Wolf of Wall Street,8.0,338096
Mother,8.3,88740
The Bourne Ultimatum,8.8,368627
Traffic,7.6,13228
These Encounters of Theirs,NaN,NaN
Vincere,7.4,2111
Le quattro volte,8.2,4860
The Profession of Arms,7.3,71
Gostanza da Libbiano,NaN,NaN
Storia di una donna amata e di un assassino gentile,NaN,NaN
At the First Breath of Wind,8.3,1200
Sangue,6.6,1177
Terra,5.1,8815
Oh! Man,8.0,37
"Synecdoche, New York",8.3,16276
Black Swan,8.6,711420
The Comedy,3.3,30498
Melancholia,7.1,29492
Inglourious Basterds,8.6,412874
Inside Llewyn Davis,8.1,114304
Only Lovers Left Alive,7.6,38255
The Congress,7.8,11643
The Master,7.4,17311
25th Hour,7.9,21828
24 Hour Party People,7.9,1816
Once Upon a Time in Anatolia,7.8,9381
Zodiac,7.4,168230
A Serious Man,7.4,21180
Tinker Tailor Soldier Spy,7.9,101082
Primer,6.5,1806
