,properties.article,geometry.coordinates,geometry.type,properties.headline,properties.group_id,properties.group_name,properties.color,properties.radius
0,<div id='movie'><h1><b>Selected Movies</b></h1><P>Certified Copy: 9 votes</p><p>Ten: 4 votes</p><p>Like Someone In Love: 2 votes</P></div>,"[51.41503, 35.68877]",Point,"Abbas Kiarostami's birthplace is Tehran, Iran.",4,Liked by more people in China,#FA3B00,3.872983346207417
1,<div id='movie'><h1><b>Selected Movies</b></h1><P>Blue Is the Warmest Color: 7 votes</P></div>,"[10.1827, 36.80001]",Point,"Abdellatif Kechiche's birthplace is Tunis, Tunisia.",4,Liked by more people in China,#FA3B00,2.6457513110645907
2,<div id='movie'><h1><b>Selected Movies</b></h1><P>Timbuktu: 9 votes</p><p>Waiting for Happiness: 2 votes</P></div>,"[-11.39289, 16.75704]",Point,"Abderrahmane Sissako's birthplace is Kiffa, Mauritania.",2,Liked by less people in China,#FADD5C,3.3166247903554
3,<div id='movie'><h1><b>Selected Movies</b></h1><P>The Century of the Self: 1 vote</P></div>,"[0.22057, 51.44462]",Point,"Adam Curtis's birthplace is Dartford, Kent, England, UK.",2,Liked by less people in China,#FADD5C,1.0
4,<div id='movie'><h1><b>Selected Movies</b></h1><P>Anchorman: The Legend of Ron Burgundy: 1 vote</p><p>Step Brothers: 1 vote</p><p>Talladega Nights: The Ballad of Ricky Bobby: 1 vote</P></div>,"[-75.16218, 39.95222]",Point,"Adam McKay's birthplace is Philadelphia, Pennsylvania, USA.",1,Liked by more people in America,#0600AD,1.7320508075688772
5,<div id='movie'><h1><b>Selected Movies</b></h1><P>Burning Bush: 1 vote</P></div>,"[21.01037, 52.2356]",Point,"Agnieszka Holland's birthplace is Warsaw, Mazowieckie, Poland.",2,Liked by less people in China,#FADD5C,1.0
6,<div id='movie'><h1><b>Selected Movies</b></h1><P>The Taste of Others: 1 vote</P></div>,"[2.30513, 48.75366]",Point,"Agnès Jaoui's birthplace is Antony, Hauts-de-Seine, France.",2,Liked by less people in China,#FADD5C,1.0
7,<div id='movie'><h1><b>Selected Movies</b></h1><P>The Gleaners and I: 4 votes</P></div>,"[4.36675, 50.8326]",Point,"Agnès Varda's birthplace is Ixelles, Belgium.",2,Liked by less people in China,#FADD5C,2.0
8,<div id='movie'><h1><b>Selected Movies</b></h1><P>The Man Without A Past: 1 vote</P></div>,"[25.73482, 60.8019]",Point,"Aki Kaurismäki's birthplace is Orimattila, Finland.",2,Liked by less people in China,#FADD5C,1.0
9,<div id='movie'><h1><b>Selected Movies</b></h1><P>Le filmeur: 1 vote</P></div>,"[1.06483, 47.79245]",Point,"Alain Cavalier's birthplace is Vendôme, Loir-et-Cher, France.",2,Liked by less people in China,#FADD5C,1.0
