name,imdb_name,imdb_rate,imdb_ppl,storyline
Mulholland Drive, Mulholland Drive (2001) ,7.9,341K,"Still untarnished by the false promises of the rapacious film industry, the wide-eyed actress, Betty, sets foot on bustling, sun-kissed Hollywood. Brimming with hope, and eager to spread her wings and prove her worth, Betty moves in Aunt Ruth's expensive apartment, unbeknownst to her, however, that fate has other plans in store for her, setting the stage for life-altering experiences with the unexpected, the indecipherable, and the unknown. Now, in the centre of an elaborate labyrinth of half-truths, faded memories, unrequited loves, and dangerous encounters with the city's ugly face lies a strange key to a mysterious keyhole, an even stranger indigo-blue cube, the young director, Adam, and one cryptic woman: the amnesiac brunette and devilishly seductive car-crash survivor, Rita. But, time flies and Rita's opaque past demands answers. After all, both women deserve the truth. What is the secret of the serpentine, dream-crushing Mulholland Drive? —Nick Riganas"
In the Mood for Love, In the Mood for Love (2000) ,8.1,140K,"Set in Hong Kong, 1962, Chow Mo-Wan is a newspaper editor who moves into a new building with his wife. At the same time, Su Li-zhen, a beautiful secretary and her executive husband also move in to the crowded building. With their spouses often away, Chow and Li-zhen spend most of their time together as friends. They have everything in common from noodle shops to martial arts. Soon, they are shocked to discover that their spouses are having an affair. Hurt and angry, they find comfort in their growing friendship even as they resolve not to be like their unfaithful mates. —Anonymous"
The Tree of Life, The Tree of Life (2011) ,6.8,173K,"The impressionistic story of a Texas family in the 1950s. The film follows the life journey of the eldest son, Jack, through the innocence of childhood to his disillusioned adult years as he tries to reconcile a complicated relationship with his father (Brad Pitt). Jack (played as an adult by Sean Penn) finds himself a lost soul in the modern world, seeking answers to the origins and meaning of life while questioning the existence of faith. —alfiehitchie"
Yi Yi: A One and a Two, Yi Yi: A One and a Two... (2000) ,8.2,23K,"Buttressed between two milestone events within their personal sphere, the lives of the Jians - husband and wife N.J. and Min-Min, teenage daughter Ting-Ting, and eight year old son Yang-Yang - and to a lesser extent that of their broader grouping of extended family and friends, are presented. The Jians live in an upscale apartment complex in Taipei along with Min-Min's mother, who has fallen into a coma, each family member who takes turns by her bedside to relay life's goings-on to her regardless of if she can hear them. While Min-Min has troubles with this on-going task, the other three use her as an unofficial sounding board for their issues, primarily in the realm of finding their place in current life and their role in her predicament. Yang-Yang still has a child's simple perspective of the world, such as the reason he has a penchant for taking photographs of the back of people's heads, that naiveté exactly the reason he is the target of bullying especially among a group of older girls, and by one of his teachers. Ting-Ting is acting as the unofficial intermediary in the complicated relationship between her best friend and next door neighbor Lili, and her boyfriend Fatty. It is made all the more difficult as Ting-Ting has feelings for Fatty herself. And N.J., a computer electronics engineer, is seen as the honest one among him and his partners, which is why he is chosen to deal with Japanese Mr. Ota in assessing if it worth the expensive but potentially lucrative risk of going into business with him. Concurrently, N.J., who uses Mr. Ota as a confidante of sorts in their emerging friendship, reunites and becomes reacquainted with childhood friend Sherry, married and now living in Chicago, she who could have been the one in his life if he ended up keeping their appointment thirty years ago. Min-Min's younger brother A-Di may face that same conundrum thirty years down the road as he just married Xiao-Yan partly for a very specific reason, while his old girlfriend Yunyun fumes on the sidelines. —Huggo"
Goodbye to Language, Goodbye to Language (2014) ,5.9,5.8K,"The idea is simple: A married woman and a single man meet. They love, they argue, fists fly. A dog strays between town and country. The seasons pass. The man and woman meet again. The dog finds itself between them. The other is in one, the one is in the other and they are three. The former husband shatters everything. A second film begins: the same as the first, and yet not. From the human race we pass to metaphor. This ends in barking and a baby's cries. —Production"
The White Meadows, The White Meadows (2009) ,7.6,795,"Once again, Rahmat is sent by his job to travel to different islands, something he has been doing for many years. They ask for him to collect the tears of the inhabitants of these islands. Although, these inhabitants have been giving their tears to Rahmat for many years, no one really knows what he is doing with them. —IMDb Editor"
Night Across the Street, Night Across the Street (2012) ,6.1,487,A drama centered on an office worker on the verge of retirement who begins to relive both real and imagined memories.
Certified Copy, Certified Copy (2010) ,7.3,23K,"James Miller has just written a book on the value of a copy versus the original work of art. At a book reading, a woman gives him her address, and the next day they meet and take a country-side drive to a local Italian village. Here, they discuss various works of art found in the town, and also the nature of their relationship - which gets both more revealed and concealed as the day progresses. —napierslogs"
Sparrow, Sparrow (2008) ,6.7,2.8K,A gang of pickpockets roam the streets of Hong Kong.
Fados, Fados (2007) ,7.1,790,"Having taken on flamenco (""Sevillanas"") and tango (""Tango""), Carlos Saura tackles a third great melancholy music style, directing ""Fados,"" a celebration of Portugal's classic, lamenting acoustic folk songs. The film combines fado performances from top artists, dance from Portugal, Brazil and Cape Verde and archive footage. In the song centrepieces, artists deliver contemporary versions of fado classics. Lined up fadistas include young female star Mariza as well as Grammy award-winner Carlos do Carmo. Renowned diva Amália Rodrigues is remembered through arquive footage while the exploration of fado's influences and roots gives opportunities to embrace prestigious Brazilian performers Caetano Veloso, Chico Buarque and the emerging Cape Verdean star Lura."
